CheckOutID,ItemID,EmployeeID,CustomerID
1,864,143,106
2,635,150,89
3,5,138,52
4,687,177,2
5,267,165,98
6,992,61,75
7,366,38,32
8,530,55,158
9,246,71,199
10,77,152,111
11,846,100,163
12,20,90,181
13,314,90,38
14,573,156,109
15,210,12,154
16,866,177,92
17,247,16,22
18,172,79,71
19,523,75,172
20,215,125,153
21,196,140,75
22,846,9,174
23,54,145,62
24,969,115,84
25,688,198,112
26,763,155,114
27,132,175,107
28,994,18,79
29,773,161,50
30,759,96,140
31,193,14,41
32,641,7,136
33,846,141,175
34,819,183,140
35,293,104,43
36,438,82,99
37,20,70,179
38,683,185,51
39,367,77,112
40,329,117,49
41,765,65,95
42,976,192,145
43,968,104,23
44,396,84,74
45,705,133,193
46,55,138,153
47,70,27,173
48,331,193,63
49,819,34,80
50,329,104,26
51,142,190,199
52,263,90,94
53,804,143,109
54,501,184,181
55,406,87,193
56,871,17,109
57,12,25,162
58,100,149,128
59,283,4,155
60,789,154,169
61,652,49,109
62,305,89,60
63,981,87,88
64,368,111,30
65,468,81,159
66,124,4,114
67,507,57,75
68,985,109,145
69,233,88,100
70,469,167,140
71,458,141,61
72,721,38,174
73,161,45,128
74,781,197,87
75,1000,52,194
76,70,72,3
77,260,121,12
78,525,104,118
79,347,118,101
80,600,128,139
81,996,6,141
82,954,20,27
83,719,101,89
84,405,169,129
85,346,163,28
86,6,160,142
87,91,193,190
88,970,157,155
89,293,159,96
90,921,7,88
91,545,3,91
92,405,139,34
93,250,187,27
94,682,40,91
95,740,53,169
96,958,59,30
97,295,62,71
98,607,119,116
99,549,17,162
100,990,45,153
101,668,21,138
102,647,58,38
103,280,187,131
104,42,56,198
105,867,106,47
106,244,131,57
107,45,46,71
108,241,46,194
109,268,138,193
110,45,173,158
111,777,167,152
112,538,111,106
113,887,74,135
114,392,97,30
115,649,30,155
116,843,148,23
117,442,125,56
118,460,140,177
119,444,131,5
120,327,122,77
121,251,55,103
122,803,159,13
123,858,100,110
124,649,90,140
125,912,89,150
126,129,169,158
127,119,69,33
128,445,8,49
129,293,176,187
130,814,191,39
131,543,5,71
132,878,109,161
133,810,31,148
134,337,128,69
135,611,153,154
136,188,153,133
137,356,139,98
138,552,140,69
139,515,25,78
140,320,9,187
141,600,120,163
142,26,16,101
143,687,66,171
144,813,46,4
145,297,135,17
146,193,67,155
147,275,187,161
148,749,52,33
149,81,120,44
150,350,193,192
151,138,160,113
152,596,18,187
153,925,198,152
154,862,82,195
155,465,110,100
156,853,31,54
157,155,142,195
158,584,125,4
159,556,54,185
160,262,182,187
161,915,152,95
162,681,27,84
163,531,173,102
164,179,144,123
165,348,24,146
166,917,153,194
167,257,191,197
168,548,194,194
169,154,120,187
170,192,57,77
171,384,128,45
172,396,25,20
173,167,23,36
174,311,130,73
175,815,64,22
176,815,135,3
177,768,48,197
178,756,110,186
179,733,148,65
180,857,30,98
181,723,103,124
182,260,29,77
183,387,92,61
184,539,58,42
185,494,78,105
186,728,186,36
187,612,56,74
188,686,116,195
189,369,108,112
190,62,17,33
191,348,99,24
192,887,103,65
193,952,96,197
194,120,62,34
195,495,146,176
196,50,176,102
197,185,42,86
198,743,33,88
199,46,83,23
200,499,112,183
201,939,120,27
202,756,146,36
203,824,42,10
204,457,39,43
205,735,78,4
206,91,4,95
207,219,166,61
208,563,144,85
209,668,64,196
210,263,97,122
211,295,131,14
212,101,34,67
213,158,2,33
214,734,173,136
215,174,120,28
216,27,140,125
217,695,83,74
218,849,25,188
219,636,176,52
220,982,120,72
221,828,158,166
222,723,91,47
223,925,144,197
224,580,137,179
225,201,65,32
226,167,197,41
227,573,195,96
228,572,118,16
229,809,24,154
230,373,61,97
231,406,134,131
232,211,122,5
233,724,30,93
234,124,13,46
235,8,77,184
236,895,95,187
237,844,178,186
238,817,16,105
239,924,196,139
240,290,106,46
241,556,187,18
242,774,149,142
243,467,198,142
244,276,34,184
245,604,119,61
246,824,84,130
247,373,194,5
248,589,9,162
249,694,199,183
250,204,36,197
251,688,64,171
252,348,115,156
253,119,94,187
254,295,37,92
255,429,105,102
256,637,115,194
257,217,172,151
258,411,143,161
259,720,138,28
260,310,99,119
261,583,165,72
262,126,34,68
263,709,45,141
264,803,184,59
265,488,18,3
266,256,148,30
267,700,21,186
268,388,156,37
269,184,143,42
270,511,105,151
271,402,80,4
272,367,101,2
273,766,180,168
274,585,150,52
275,25,177,53
276,948,102,78
277,806,112,157
278,554,169,192
279,370,2,54
280,536,19,36
281,638,31,39
282,623,180,86
283,481,153,60
284,388,117,111
285,962,8,194
286,687,132,48
287,303,19,26
288,521,197,149
289,722,81,180
290,747,51,200
291,745,1,138
292,837,79,158
293,416,34,160
294,952,168,3
295,611,65,25
296,17,175,25
297,564,154,84
298,768,123,107
299,432,133,36
300,115,177,156
301,594,148,165
302,163,104,50
303,126,180,180
304,546,33,77
305,64,38,79
306,698,31,166
307,310,127,30
308,608,137,69
309,256,14,113
310,441,92,177
311,35,176,2
312,531,67,142
313,200,60,52
314,769,103,76
315,498,74,32
316,455,164,100
317,978,78,44
318,360,167,176
319,156,124,72
320,816,167,22
321,261,20,51
322,449,1,79
323,333,174,184
324,826,179,74
325,214,64,160
326,17,151,48
327,974,98,49
328,892,158,56
329,268,52,141
330,247,61,167
331,992,139,147
332,479,8,67
333,384,74,151
334,702,123,67
335,127,5,15
336,390,172,81
337,582,69,70
338,424,63,41
339,358,126,66
340,485,194,24
341,948,55,44
342,495,140,70
343,975,28,138
344,876,52,40
345,131,88,126
346,167,45,96
347,52,111,159
348,522,194,81
349,932,118,45
350,615,107,68
351,385,187,76
352,29,45,167
353,127,169,9
354,545,20,184
355,915,109,87
356,609,38,171
357,345,92,168
358,296,197,15
359,475,31,190
360,635,149,149
361,559,20,150
362,471,28,69
363,666,165,169
364,873,13,113
365,863,107,178
366,283,155,19
367,572,36,122
368,10,51,193
369,423,150,148
370,863,173,166
371,350,139,106
372,304,84,190
373,478,119,132
374,251,117,100
375,192,117,175
376,788,11,67
377,324,193,149
378,409,123,119
379,689,45,185
380,986,58,70
381,370,43,183
382,907,33,130
383,978,135,131
384,174,100,75
385,474,200,162
386,954,165,125
387,437,104,76
388,148,195,154
389,579,76,185
390,283,200,125
391,618,124,12
392,953,190,67
393,295,83,62
394,806,54,185
395,520,26,139
396,966,141,151
397,309,28,38
398,143,24,195
399,963,110,107
400,94,156,108
401,145,119,146
402,681,61,31
403,263,167,142
404,435,97,94
405,49,120,90
406,967,99,38
407,341,161,132
408,61,47,25
409,131,59,43
410,735,36,60
411,190,127,17
412,74,70,69
413,237,35,155
414,509,19,35
415,731,47,112
416,170,31,18
417,815,153,109
418,228,145,151
419,257,83,176
420,262,145,40
421,60,3,80
422,332,152,67
423,618,137,32
424,80,196,90
425,428,188,190
426,776,37,128
427,758,195,1
428,464,58,6
429,355,76,130
430,717,153,141
431,213,145,130
432,566,198,15
433,474,56,146
434,457,149,84
435,430,172,10
436,693,158,147
437,274,72,57
438,670,200,50
439,911,85,152
440,182,9,78
441,531,37,68
442,693,125,59
443,583,14,196
444,163,27,44
445,836,168,86
446,891,1,29
447,853,27,132
448,103,163,102
449,684,105,167
450,471,92,31
451,125,128,19
452,478,68,153
453,889,49,123
454,697,6,4
455,129,191,139
456,901,118,150
457,1,120,185
458,52,22,197
459,905,130,118
460,959,196,181
461,4,59,150
462,133,191,188
463,842,174,105
464,690,61,89
465,727,114,184
466,827,157,142
467,218,19,155
468,484,79,177
469,952,16,144
470,666,109,88
471,547,194,68
472,769,26,173
473,328,12,140
474,570,20,168
