CheckOutID,ItemID,EmployeeID,CustomerID,CheckedOutOn
1,458,168,178,11/14/2021 18:18
2,20,119,186,11/29/2020 23:49
3,858,97,151,8/16/2021 1:55
4,799,175,20,5/16/2021 20:13
5,880,90,79,9/16/2021 22:30
6,387,140,148,6/13/2021 5:48
7,618,33,192,8/19/2021 7:39
8,835,142,46,5/29/2021 1:57
9,341,6,144,3/9/2021 14:39
10,693,103,181,3/1/2021 12:18
11,135,113,90,2/27/2021 9:29
12,517,130,134,1/16/2021 4:08
13,393,140,35,2/16/2021 18:08
14,330,45,65,12/26/2020 12:31
15,587,73,41,12/27/2020 10:18
16,132,93,56,5/2/2021 4:42
17,316,57,174,5/11/2021 3:26
18,265,86,35,2/15/2021 3:53
19,108,169,66,7/3/2021 9:45
20,679,79,9,8/10/2021 23:27
21,651,129,32,1/4/2021 17:58
22,329,32,154,5/13/2021 14:08
23,912,119,35,6/1/2021 9:59
24,248,162,175,1/31/2021 21:32
25,167,152,107,1/12/2021 15:32
26,141,73,30,9/30/2021 16:25
27,53,187,95,1/21/2021 9:19
28,546,69,46,7/5/2021 4:28
29,547,19,6,7/11/2021 0:44
30,926,40,96,4/6/2021 7:54
31,887,196,6,1/15/2021 23:37
32,262,170,47,7/27/2021 16:30
33,574,40,110,11/4/2021 8:04
34,691,144,43,12/5/2020 21:12
35,123,169,76,7/21/2021 1:20
36,16,117,40,2/10/2021 19:01
37,22,179,22,6/10/2021 11:35
38,109,154,50,2/2/2021 1:43
39,778,187,89,7/16/2021 22:50
40,497,7,126,2/10/2021 17:04
41,496,28,125,2/25/2021 11:32
42,738,123,126,9/10/2021 14:03
43,220,30,185,9/1/2021 4:50
44,637,67,108,7/5/2021 10:43
45,650,188,91,8/22/2021 6:27
46,602,111,96,2/24/2021 10:30
47,962,131,76,5/19/2021 0:59
48,600,96,53,5/26/2021 10:05
49,420,60,5,6/17/2021 6:18
50,435,56,114,10/17/2021 11:19
51,381,83,139,12/21/2020 20:22
52,941,125,4,6/30/2021 15:30
53,173,128,74,1/3/2021 15:52
54,291,143,73,9/19/2021 7:47
55,914,13,77,2/7/2021 4:33
56,451,171,27,5/24/2021 4:55
57,567,4,135,12/16/2020 21:21
58,75,3,8,10/6/2021 17:49
59,316,62,74,6/17/2021 4:08
60,982,145,145,6/21/2021 9:46
61,712,30,39,4/23/2021 12:27
62,961,175,107,6/5/2021 17:11
63,762,38,13,6/6/2021 15:30
64,300,27,107,12/28/2020 20:25
65,460,136,112,12/16/2020 8:20
66,253,21,65,5/18/2021 10:33
67,803,103,31,3/12/2021 0:00
68,481,110,68,10/12/2021 23:56
69,660,70,66,7/3/2021 16:05
70,19,37,122,4/25/2021 3:54
71,629,112,122,1/19/2021 9:08
72,28,26,49,6/5/2021 17:43
73,843,14,84,9/20/2021 18:46
74,233,101,162,4/2/2021 6:59
75,174,81,119,5/15/2021 4:48
76,327,170,119,2/28/2021 19:24
77,243,75,78,9/6/2021 11:55
78,277,93,190,5/19/2021 12:37
79,993,59,177,3/23/2021 1:21
80,145,123,101,7/3/2021 0:16
81,191,76,172,6/24/2021 20:50
82,641,92,32,10/2/2021 23:24
83,867,49,27,12/19/2020 5:08
84,668,193,108,8/8/2021 4:25
85,678,183,18,9/12/2021 12:20
86,53,137,44,2/9/2021 14:27
87,918,102,18,6/16/2021 16:15
88,791,104,169,12/6/2020 16:17
89,93,43,188,5/25/2021 17:35
90,446,96,161,2/10/2021 4:47
91,783,70,138,7/22/2021 6:10
92,783,171,83,8/9/2021 8:10
93,31,73,146,9/14/2021 2:13
94,60,182,90,7/18/2021 18:25
95,490,199,148,5/11/2021 16:07
96,100,124,101,7/13/2021 6:20
97,181,51,39,1/26/2021 6:54
98,986,88,15,7/6/2021 6:51
99,908,152,37,4/22/2021 16:33
100,175,134,150,9/19/2021 8:27
101,828,117,96,10/16/2021 21:09
102,825,188,17,9/30/2021 2:27
103,808,20,155,4/5/2021 6:57
104,897,126,33,6/15/2021 14:20
105,842,155,56,3/15/2021 2:32
106,585,100,133,9/6/2021 18:53
107,854,5,183,10/22/2021 3:28
108,871,156,139,9/2/2021 6:30
109,13,162,137,9/19/2021 4:52
110,804,117,33,11/24/2021 11:44
111,313,115,24,10/17/2021 22:45
112,637,25,27,2/11/2021 1:14
113,744,178,76,5/9/2021 8:30
114,339,23,126,10/26/2021 14:09
115,62,138,199,7/6/2021 13:53
116,601,58,195,10/24/2021 10:51
117,95,53,47,4/24/2021 4:22
118,889,56,111,9/10/2021 15:43
119,749,174,39,5/12/2021 20:24
120,256,174,166,7/7/2021 15:44
121,468,79,53,5/9/2021 3:06
122,664,187,122,9/25/2021 4:21
123,250,168,24,6/4/2021 12:02
124,969,173,179,10/29/2021 15:08
125,899,36,156,11/5/2021 4:24
126,735,125,92,12/24/2020 0:28
127,930,158,141,2/22/2021 10:58
128,624,72,21,4/10/2021 3:51
129,473,78,133,9/28/2021 0:40
130,137,27,60,11/10/2021 7:21
131,608,159,181,8/19/2021 20:03
132,475,64,61,8/18/2021 5:13
133,102,191,138,6/16/2021 5:00
134,102,156,100,8/28/2021 12:14
135,428,122,27,3/23/2021 2:35
136,780,151,36,11/22/2021 20:44
137,791,36,153,6/23/2021 1:16
138,875,3,175,8/11/2021 0:19
139,677,15,145,4/18/2021 2:44
140,796,136,34,5/10/2021 4:13
141,500,61,113,2/24/2021 21:14
142,415,41,30,11/23/2021 11:59
143,243,143,12,8/27/2021 6:36
144,681,133,80,1/24/2021 4:43
145,194,190,93,6/14/2021 9:27
146,631,156,175,9/20/2021 16:38
147,68,3,107,5/1/2021 22:13
148,234,164,100,6/26/2021 0:12
149,931,112,124,5/30/2021 19:52
150,925,33,150,8/15/2021 13:56
151,237,142,152,11/15/2021 11:34
152,782,175,162,6/7/2021 13:37
153,654,107,65,8/4/2021 22:47
154,346,166,69,11/9/2021 11:51
155,84,111,128,7/24/2021 7:46
156,95,159,83,8/5/2021 23:38
157,374,80,68,10/19/2021 13:54
158,487,17,95,11/12/2021 19:22
159,92,21,104,10/14/2021 1:23
160,982,169,177,4/6/2021 20:57
161,970,79,188,2/2/2021 21:20
162,503,187,131,6/26/2021 10:44
163,956,44,159,12/8/2020 3:19
164,643,179,32,2/5/2021 2:10
165,664,146,13,10/31/2021 2:10
166,903,141,43,9/15/2021 23:26
167,451,75,84,11/21/2021 13:06
168,414,139,193,9/30/2021 13:10
169,299,183,167,7/7/2021 3:54
170,240,172,116,10/4/2021 19:11
171,596,91,168,8/23/2021 15:39
172,818,112,96,8/27/2021 6:03
173,901,108,88,7/5/2021 1:36
174,501,173,127,9/23/2021 18:06
175,38,118,145,8/26/2021 3:02
176,873,86,152,2/18/2021 1:44
177,771,98,191,10/12/2021 4:57
178,108,199,37,7/6/2021 19:28
179,453,10,122,2/26/2021 1:16
180,795,58,115,8/20/2021 0:51
181,577,75,78,1/11/2021 8:56
182,295,53,3,5/11/2021 22:22
183,344,124,86,1/17/2021 20:09
184,500,173,57,12/23/2020 15:06
185,882,119,198,4/2/2021 12:50
186,987,115,155,10/28/2021 8:21
187,374,130,191,7/8/2021 1:59
188,233,35,173,7/24/2021 17:12
189,332,190,168,9/27/2021 21:31
190,800,81,50,3/28/2021 11:44
191,252,68,35,6/14/2021 21:23
192,902,159,88,7/6/2021 13:14
193,941,61,157,7/9/2021 9:11
194,361,178,78,10/18/2021 3:58
195,286,76,151,9/2/2021 8:58
196,96,33,26,2/17/2021 8:06
197,927,140,72,12/8/2020 4:01
198,799,173,177,9/1/2021 6:39
199,305,35,35,7/27/2021 12:24
200,882,183,87,2/3/2021 21:16
201,880,126,95,6/16/2021 9:17
202,371,30,76,9/16/2021 23:01
203,157,113,28,1/24/2021 1:49
204,985,182,156,9/23/2021 7:06
205,659,34,88,10/31/2021 14:34
206,360,29,32,10/12/2021 4:37
207,646,140,184,4/17/2021 21:45
208,327,38,13,2/17/2021 20:47
209,949,171,23,9/20/2021 3:52
210,708,46,200,6/28/2021 14:23
211,62,183,178,4/16/2021 0:21
212,902,129,59,4/29/2021 23:53
213,456,192,130,8/16/2021 3:25
214,959,89,79,9/1/2021 23:42
215,332,131,21,8/19/2021 16:36
216,590,143,4,6/15/2021 19:30
217,566,109,169,4/14/2021 10:28
218,988,52,123,4/15/2021 11:18
219,917,23,193,12/22/2020 12:55
220,508,10,70,2/23/2021 16:17
221,212,50,102,7/30/2021 8:58
222,690,14,20,9/28/2021 18:59
223,892,52,77,11/5/2021 3:44
224,541,145,195,3/7/2021 19:47
225,283,58,102,6/4/2021 14:43
226,816,182,135,1/4/2021 21:22
227,73,60,175,7/17/2021 0:43
228,825,70,57,3/26/2021 12:47
229,12,40,154,9/8/2021 5:04
230,971,95,106,1/2/2021 20:47
231,651,131,30,12/13/2020 16:51
232,639,165,142,7/23/2021 14:07
233,670,81,114,10/11/2021 19:47
234,235,135,123,3/7/2021 15:53
235,685,42,23,9/10/2021 18:16
236,149,6,135,1/1/2021 8:47
237,801,65,53,12/31/2020 13:58
238,517,139,30,2/6/2021 4:32
239,400,81,182,9/5/2021 16:07
