ItemID,ItemName,SerialNumber,ItemType,IsCheckedOut,IsRemoved
1,et commodo,4789837025,Mic,0,0
2,non velit,6246234364,Camera Stand,0,0
3,tortor risus dapibus,2874118680,Mic,0,0
4,mus,9635355416,Laptop,0,0
5,faucibus,1047237784,Phone Stand,0,0
6,augue,7434634766,Mic,0,0
7,ante,7062444588,Camera,0,0
8,in hac habitasse,2026267987,Mic,0,0
9,tempus semper est,378035363,Mic,0,0
10,amet,1350790699,Laptop,0,0
11,volutpat erat quisque,8872317142,Mic,0,0
12,nunc,6592345861,Camera,0,0
13,libero,315838728,Laptop,0,0
14,et ultrices posuere,2798210607,Camera Stand,0,0
15,quam sapien varius,7673236583,Mic,0,0
16,consequat,3592334042,Camera Stand,0,0
17,ultrices posuere,3733134214,Camera Stand,0,0
18,ac diam cras,9863437786,Camera,0,0
19,ullamcorper augue a,6636004614,Mic,0,0
20,aliquet maecenas,7804998481,Camera Stand,0,0
21,volutpat eleifend donec,4674414024,Phone Stand,0,0
22,et tempus,8902456978,Mic,0,0
23,ut massa,4739018306,Camera,0,0
24,orci luctus,913240443,Laptop,0,0
25,urna,7089266648,Mic,0,0
26,metus,6290518992,Camera,0,0
27,sagittis,3309812383,Camera,0,0
28,tempor turpis,5209053555,Camera Stand,0,0
29,in,2356929711,Laptop,0,0
30,id lobortis,967859778,Mic,0,0
31,eu,3187351786,Camera,0,0
32,ut odio cras,4032431531,Camera,0,0
33,eleifend,8179457028,Camera Stand,0,0
34,curae mauris,7238961717,Mic,0,0
35,vehicula consequat morbi,7576788631,Camera,0,0
36,aliquet,3517638951,Camera Stand,0,0
37,auctor sed,2153555671,Mic,0,0
38,vitae,9913270006,Camera Stand,0,0
39,ut rhoncus aliquet,1155071859,Camera Stand,0,0
40,nunc,7735673248,Laptop,0,0
41,quam,5897138060,Phone Stand,0,0
42,diam,2200885830,Mic,0,0
43,adipiscing molestie hendrerit,7365264985,Mic,0,0
44,ante,1424363535,Camera Stand,0,0
45,at vulputate vitae,9747373726,Camera Stand,0,0
46,lacinia sapien quis,4400497674,Laptop,0,0
47,felis,172092698,Phone Stand,0,0
48,dictumst aliquam augue,6105168950,Camera,0,0
49,diam erat,1779476639,Camera,0,0
50,consequat,9613487948,Camera Stand,0,0
51,luctus rutrum nulla,2199538532,Mic,0,0
