ReturnID,ItemID,EmployeeID,CustomerID,CheckOutID
1,988,21,116,1
2,175,158,3,2
3,247,109,152,3
4,655,156,110,4
5,887,94,190,5
6,372,189,162,6
7,589,117,194,7
8,319,121,44,8
9,144,90,88,9
10,662,138,30,10
11,887,130,43,11
12,169,63,156,12
13,476,129,133,13
14,933,88,199,14
15,66,46,162,15
16,698,41,23,16
17,143,67,102,17
18,862,4,114,18
19,315,110,188,19
20,119,20,158,20
21,994,186,71,21
22,954,85,140,22
23,26,27,181,23
24,189,193,81,24
25,941,181,149,25
26,837,65,130,26
27,411,66,2,27
28,127,133,26,28
29,166,61,163,29
30,941,11,36,30
31,428,53,29,31
32,411,79,82,32
33,75,125,50,33
34,465,35,170,34
35,808,52,167,35
36,27,149,36,36
37,195,99,87,37
38,909,126,35,38
39,893,29,76,39
40,581,178,117,40
41,238,93,159,41
42,937,104,193,42
43,324,137,191,43
44,417,156,139,44
45,314,76,168,45
46,345,49,176,46
47,668,53,165,47
48,379,136,115,48
49,752,80,26,49
50,584,161,198,50
51,776,177,127,51
52,164,61,69,52
53,492,125,200,53
54,608,179,71,54
55,418,101,1,55
56,247,2,168,56
57,468,197,150,57
58,555,26,120,58
59,376,41,10,59
60,117,200,16,60
61,743,167,103,61
62,46,95,83,62
63,225,147,35,63
64,692,89,36,64
65,830,89,38,65
66,729,15,113,66
67,422,17,160,67
68,906,86,176,68
69,277,117,168,69
70,37,167,174,70
71,701,115,158,71
72,268,128,100,72
73,10,33,72,73
74,354,45,170,74
75,134,82,111,75
76,233,61,27,76
77,470,69,198,77
78,489,148,132,78
79,444,115,111,79
80,758,194,127,80
81,795,173,122,81
82,950,160,97,82
83,183,119,85,83
84,269,195,132,84
85,467,43,49,85
86,76,66,43,86
87,13,139,156,87
88,95,42,10,88
89,140,119,50,89
90,765,96,130,90
91,204,103,59,91
92,481,199,3,92
93,159,29,77,93
94,321,1,60,94
95,993,88,107,95
96,502,50,158,96
97,825,148,120,97
98,504,74,121,98
99,616,86,86,99
100,391,48,7,100
101,937,71,126,101
102,713,167,193,102
103,59,163,69,103
104,636,96,50,104
105,913,16,94,105
106,923,99,47,106
107,295,188,186,107
108,813,97,115,108
109,862,98,59,109
110,842,62,170,110
111,291,14,124,111
112,64,107,111,112
113,662,40,108,113
114,927,122,72,114
115,648,29,178,115
116,492,12,37,116
117,662,169,121,117
118,238,95,151,118
119,872,184,44,119
120,295,168,40,120
121,276,128,173,121
122,802,71,25,122
123,360,7,143,123
124,135,119,197,124
125,35,60,85,125
126,514,73,188,126
127,505,1,37,127
128,69,128,109,128
129,924,178,184,129
130,793,12,116,130
131,673,36,142,131
132,434,26,139,132
133,970,87,12,133
134,324,110,132,134
135,160,16,137,135
136,649,27,12,136
137,733,99,27,137
138,119,131,107,138
139,285,139,45,139
140,805,189,150,140
141,670,81,61,141
142,734,22,174,142
143,442,18,48,143
144,202,193,98,144
145,345,193,42,145
146,262,58,117,146
147,530,188,165,147
148,911,50,143,148
149,735,179,153,149
150,619,95,145,150
151,212,195,189,151
152,127,200,178,152
153,279,3,76,153
154,998,89,101,154
155,630,108,68,155
156,988,18,22,156
157,607,200,47,157
158,801,43,16,158
159,757,11,68,159
160,346,163,15,160
161,993,36,73,161
162,455,52,173,162
163,968,167,104,163
164,992,7,21,164
165,360,30,38,165
166,69,57,31,166
167,838,35,7,167
168,574,83,32,168
169,686,64,177,169
170,627,179,153,170
171,21,36,164,171
172,265,87,29,172
173,941,21,154,173
174,373,104,158,174
175,118,70,164,175
176,644,171,118,176
177,346,107,177,177
178,245,103,123,178
179,537,102,65,179
180,180,188,37,180
181,850,171,80,181
182,271,32,5,182
183,173,40,163,183
184,706,11,98,184
185,311,147,130,185
186,373,180,22,186
187,376,124,39,187
188,727,36,93,188
189,658,122,100,189
190,237,122,122,190
191,5,14,13,191
192,111,196,113,192
193,170,121,161,193
194,522,6,137,194
195,696,104,153,195
196,882,50,87,196
197,450,155,137,197
198,279,171,59,198
199,687,99,196,199
200,982,26,110,200
201,801,54,14,201
202,235,54,39,202
203,959,150,91,203
204,615,56,84,204
205,622,110,188,205
206,323,81,160,206
207,778,73,25,207
208,304,135,137,208
209,717,46,99,209
210,818,46,119,210
211,686,122,186,211
212,279,172,20,212
213,544,77,156,213
214,977,179,161,214
215,454,180,75,215
216,896,166,152,216
217,789,173,143,217
218,55,180,71,218
219,375,33,140,219
220,858,14,4,220
221,939,16,62,221
222,672,64,178,222
223,329,50,180,223
224,124,125,82,224
225,651,96,189,225
226,84,48,1,226
227,862,147,2,227
228,909,118,15,228
229,298,198,109,229
230,491,138,186,230
231,821,7,71,231
232,330,10,93,232
233,308,66,21,233
234,884,48,59,234
235,294,70,94,235
236,446,40,19,236
237,112,165,123,237
238,201,135,88,238
239,794,36,64,239
240,522,50,85,240
241,57,18,20,241
242,498,15,183,242
243,732,85,8,243
244,243,162,151,244
245,650,32,89,245
246,628,160,181,246
247,837,55,178,247
248,279,177,129,248
249,767,146,182,249
250,579,102,152,250
251,363,185,138,251
252,448,70,183,252
253,172,182,132,253
254,968,53,144,254
255,483,66,166,255
256,631,95,34,256
257,612,115,71,257
258,295,76,72,258
259,14,9,117,259
260,580,81,200,260
261,127,167,122,261
262,121,25,74,262
263,617,115,124,263
264,164,151,142,264
265,745,90,98,265
266,338,163,89,266
267,57,119,57,267
268,613,67,13,268
269,709,6,80,269
270,427,10,162,270
271,164,144,41,271
272,238,124,122,272
273,861,166,54,273
274,679,170,175,274
275,960,88,63,275
276,805,125,109,276
277,235,1,95,277
278,894,52,43,278
279,415,108,69,279
280,142,106,138,280
281,11,80,80,281
282,455,178,138,282
283,170,37,147,283
284,88,95,53,284
285,273,2,131,285
286,426,58,79,286
287,417,145,85,287
288,137,178,24,288
289,840,164,92,289
290,687,96,98,290
291,648,53,195,291
292,572,99,157,292
293,207,183,187,293
294,99,126,200,294
295,27,160,83,295
296,544,197,21,296
297,278,142,98,297
298,278,138,118,298
299,871,31,158,299
300,996,86,58,300
301,188,70,114,301
302,266,27,115,302
303,232,148,66,303
304,822,165,133,304
305,236,157,58,305
306,818,176,47,306
307,855,197,101,307
308,378,149,5,308
309,739,39,186,309
310,436,29,160,310
311,822,9,114,311
312,202,118,21,312
313,402,131,172,313
314,382,173,101,314
315,724,74,193,315
316,139,24,53,316
317,557,70,72,317
318,479,140,149,318
319,567,1,64,319
320,453,198,83,320
321,47,15,68,321
322,670,46,76,322
323,175,199,182,323
324,986,8,47,324
325,457,8,92,325
326,930,85,148,326
327,896,188,110,327
328,196,198,64,328
329,159,51,71,329
330,235,83,105,330
331,396,96,131,331
332,786,30,73,332
333,431,10,161,333
334,652,170,1,334
335,87,197,124,335
336,434,150,86,336
337,972,134,155,337
338,509,33,136,338
339,412,186,41,339
340,670,143,183,340
341,46,169,163,341
342,16,38,80,342
343,953,171,82,343
344,175,76,103,344
345,241,189,20,345
346,559,19,101,346
347,917,130,121,347
348,749,3,177,348
349,619,198,27,349
350,369,37,139,350
351,292,98,141,351
352,836,128,8,352
353,38,51,120,353
354,431,169,169,354
355,626,120,20,355
356,39,11,4,356
357,925,137,36,357
358,339,182,53,358
359,294,186,31,359
360,621,88,182,360
361,547,91,196,361
362,279,31,135,362
363,497,88,131,363
364,383,50,185,364
365,220,68,55,365
366,97,175,197,366
367,562,154,100,367
368,213,79,109,368
369,134,79,166,369
370,452,166,91,370
371,750,74,54,371
372,170,151,169,372
373,392,98,24,373
374,235,146,82,374
375,424,16,148,375
376,296,200,28,376
377,290,139,157,377
378,398,130,10,378
379,573,26,53,379
380,548,47,121,380
381,955,18,14,381
382,392,169,25,382
383,292,156,148,383
384,780,122,17,384
385,702,63,127,385
386,611,171,100,386
387,409,108,88,387
388,176,183,62,388
389,21,137,149,389
390,126,124,172,390
391,54,115,148,391
392,804,67,33,392
393,162,139,37,393
394,72,182,22,394
395,113,144,76,395
396,148,161,175,396
397,431,119,177,397
398,877,71,137,398
399,736,194,129,399
400,240,10,117,400
401,673,92,57,401
402,318,115,125,402
403,17,143,94,403
404,99,100,158,404
405,496,183,195,405
406,243,44,124,406
407,942,175,28,407
408,978,91,199,408
409,148,135,84,409
410,730,163,129,410
411,74,35,154,411
412,233,32,152,412
413,252,60,112,413
414,191,21,183,414
415,633,45,125,415
416,790,47,138,416
417,20,165,145,417
418,115,149,23,418
419,198,1,176,419
420,536,151,32,420
421,310,184,72,421
422,340,132,69,422
423,735,32,187,423
424,623,71,110,424
425,280,194,148,425
426,446,85,195,426
427,375,132,107,427
428,508,104,128,428
429,181,47,101,429
430,826,135,70,430
431,319,85,151,431
432,785,13,3,432
433,620,95,68,433
434,441,92,12,434
435,652,83,24,435
436,333,41,163,436
437,226,7,36,437
438,244,25,50,438
439,853,41,177,439
440,904,140,77,440
441,746,126,59,441
442,590,135,72,442
443,71,181,181,443
444,217,44,181,444
445,296,133,62,445
446,627,120,111,446
447,703,52,57,447
448,554,62,26,448
449,732,166,65,449
450,43,67,112,450
451,255,71,12,451
452,793,62,45,452
453,968,137,123,453
454,654,114,46,454
455,319,121,179,455
456,885,51,4,456
457,673,90,122,457
458,606,104,139,458
459,632,152,146,459
460,758,197,190,460
461,303,136,9,461
462,420,149,24,462
463,725,68,170,463
464,628,3,11,464
465,622,8,133,465
466,998,44,16,466
467,244,162,83,467
468,866,92,186,468
469,228,181,57,469
470,980,36,69,470
471,646,55,188,471
472,509,188,45,472
473,3,72,192,473
474,349,172,132,474
475,447,152,84,475
476,447,194,104,476
477,955,101,110,477
478,195,136,175,478
479,384,121,74,479
480,450,187,158,480
481,373,80,127,481
482,739,186,136,482
483,24,69,21,483
484,519,97,99,484
485,755,124,180,485
486,829,9,148,486
487,317,118,84,487
488,287,153,185,488
489,655,100,151,489
490,36,16,151,490
491,632,14,124,491
492,358,169,175,492
493,309,109,10,493
494,437,130,146,494
495,654,44,131,495
496,412,88,167,496
497,186,153,2,497
498,496,70,97,498
499,940,191,47,499
500,88,41,10,500
