ReturnID,ItemID,EmployeeID,CustomerID,CheckOutID,ReturnedOn
1,757,95,171,1,12/14/2020 7:57
2,151,66,155,2,1/20/2021 18:36
3,675,37,180,3,2/20/2021 14:09
4,225,19,155,4,1/15/2021 22:45
5,722,162,175,5,8/17/2021 15:45
6,362,161,140,6,10/28/2021 7:02
7,260,181,4,7,4/16/2021 16:07
8,659,26,130,8,9/8/2021 18:25
9,46,196,182,9,1/12/2021 12:55
10,549,182,47,10,8/8/2021 1:36
11,263,44,44,11,5/10/2021 0:19
12,757,2,107,12,7/26/2021 18:48
13,512,58,190,13,1/5/2021 11:49
14,33,137,4,14,12/23/2020 3:19
15,240,162,41,15,7/7/2021 4:35
16,825,47,112,16,12/4/2020 9:51
17,944,179,152,17,6/22/2021 7:55
18,969,185,161,18,4/9/2021 10:40
19,667,117,136,19,8/31/2021 0:23
20,572,119,92,20,12/20/2020 2:22
21,767,180,102,21,5/19/2021 6:54
22,420,125,132,22,11/20/2021 0:39
23,840,16,18,23,6/30/2021 19:21
24,39,52,112,24,12/10/2020 8:40
25,228,168,135,25,11/7/2021 1:59
26,24,186,8,26,7/3/2021 4:41
27,97,56,112,27,4/12/2021 5:23
28,527,127,163,28,8/17/2021 17:52
29,147,12,109,29,8/24/2021 22:54
30,893,72,46,30,10/9/2021 2:38
31,690,74,148,31,6/23/2021 5:40
32,539,53,184,32,6/25/2021 10:42
33,540,146,170,33,12/6/2020 11:20
34,13,10,173,34,4/19/2021 6:50
35,690,190,193,35,10/14/2021 6:30
36,680,28,164,36,5/19/2021 15:52
37,673,30,33,37,6/4/2021 10:04
38,575,38,89,38,2/10/2021 19:19
39,106,144,138,39,3/2/2021 21:53
40,864,100,135,40,4/28/2021 15:00
41,397,112,69,41,10/4/2021 14:23
42,68,119,18,42,5/8/2021 23:30
43,436,14,194,43,9/20/2021 19:13
44,835,165,92,44,4/24/2021 17:02
45,442,145,24,45,7/31/2021 0:18
46,614,18,8,46,11/13/2021 5:17
47,364,134,117,47,5/2/2021 20:58
48,728,137,41,48,12/28/2020 23:38
49,333,183,193,49,2/8/2021 8:42
50,18,87,101,50,5/29/2021 1:18
51,867,152,78,51,8/16/2021 7:45
52,808,143,13,52,4/1/2021 15:55
53,529,102,192,53,12/23/2020 18:49
54,780,196,25,54,6/30/2021 13:42
55,468,140,152,55,2/17/2021 11:36
56,622,183,90,56,12/15/2020 20:06
57,844,49,16,57,8/23/2021 15:38
58,262,171,41,58,3/18/2021 1:00
59,97,79,123,59,5/22/2021 3:21
60,225,41,10,60,9/28/2021 8:55
61,190,91,53,61,5/8/2021 8:23
62,754,75,17,62,6/30/2021 11:54
63,873,53,36,63,10/7/2021 10:44
64,378,134,22,64,7/16/2021 18:33
65,542,91,48,65,8/8/2021 18:55
66,106,131,180,66,4/6/2021 18:09
67,692,136,121,67,6/24/2021 14:50
68,232,3,193,68,12/29/2020 11:15
69,438,27,4,69,1/16/2021 10:44
70,250,96,7,70,5/7/2021 7:48
71,522,112,166,71,1/1/2021 3:27
72,403,125,140,72,1/27/2021 1:38
73,155,118,44,73,1/5/2021 21:04
74,687,123,191,74,8/21/2021 3:13
75,645,109,14,75,5/7/2021 16:52
76,61,86,26,76,4/26/2021 21:53
77,665,68,20,77,5/15/2021 15:22
78,557,171,169,78,8/9/2021 16:03
79,768,147,13,79,12/26/2020 15:38
80,418,9,24,80,7/11/2021 9:16
81,633,143,52,81,4/7/2021 15:55
82,342,77,200,82,2/2/2021 14:32
83,998,20,123,83,7/22/2021 2:13
84,430,89,38,84,1/6/2021 1:02
85,283,71,44,85,7/24/2021 14:44
86,793,194,52,86,7/24/2021 21:57
87,397,91,69,87,1/1/2021 18:07
88,535,13,72,88,1/14/2021 9:07
89,675,63,101,89,1/5/2021 3:33
90,896,114,23,90,11/13/2021 2:06
91,768,49,84,91,10/29/2021 18:44
92,994,50,190,92,12/27/2020 1:18
93,25,70,137,93,7/18/2021 22:04
94,250,142,4,94,11/5/2021 10:03
95,807,9,10,95,4/29/2021 12:12
96,598,38,24,96,1/24/2021 18:27
97,121,199,26,97,12/1/2020 7:35
98,610,195,123,98,12/8/2020 12:04
99,267,169,129,99,5/14/2021 11:25
100,563,93,25,100,7/18/2021 12:04
101,917,112,113,101,11/17/2021 15:23
102,214,137,17,102,2/22/2021 14:25
103,82,198,171,103,5/31/2021 6:42
104,19,87,131,104,8/4/2021 0:22
105,437,77,162,105,7/22/2021 22:21
106,544,77,6,106,10/26/2021 4:09
107,104,24,38,107,10/28/2021 2:13
108,623,113,119,108,8/14/2021 6:54
109,674,95,52,109,10/30/2021 14:32
110,447,63,40,110,4/20/2021 8:14
111,764,183,76,111,7/30/2021 20:39
112,562,82,154,112,8/18/2021 23:25
113,816,77,155,113,1/26/2021 20:52
114,473,128,169,114,2/20/2021 8:36
115,811,179,200,115,6/15/2021 9:43
116,33,96,164,116,9/26/2021 3:31
117,161,151,190,117,6/15/2021 17:54
118,730,92,10,118,1/25/2021 13:06
119,504,15,23,119,8/2/2021 21:41
120,421,77,94,120,3/28/2021 3:43
121,254,126,35,121,8/23/2021 17:27
122,369,150,105,122,5/25/2021 0:37
123,33,139,120,123,6/21/2021 11:13
124,193,186,81,124,2/12/2021 4:03
125,599,158,179,125,3/4/2021 1:08
126,954,28,100,126,8/15/2021 22:39
127,637,175,156,127,4/25/2021 8:30
128,246,133,66,128,9/10/2021 1:20
129,790,118,4,129,11/14/2021 22:12
130,753,85,134,130,1/11/2021 6:46
131,985,20,170,131,2/7/2021 2:09
132,184,186,173,132,1/29/2021 5:47
133,483,172,178,133,6/9/2021 12:12
134,751,11,48,134,12/15/2020 16:00
135,296,173,184,135,5/7/2021 2:58
136,447,11,183,136,2/22/2021 23:55
137,827,156,78,137,9/28/2021 0:44
138,313,51,48,138,4/19/2021 12:12
139,458,33,141,139,6/28/2021 18:49
140,18,125,130,140,4/29/2021 17:18
141,943,164,165,141,7/7/2021 8:24
142,462,47,94,142,7/10/2021 1:27
143,845,123,22,143,7/17/2021 14:22
144,255,132,64,144,9/5/2021 18:23
145,252,180,14,145,12/27/2020 22:06
146,630,128,76,146,8/15/2021 17:54
147,440,144,115,147,4/21/2021 8:38
148,648,25,61,148,2/14/2021 3:03
149,464,110,95,149,1/3/2021 21:40
150,989,189,38,150,12/25/2020 7:31
151,568,15,56,151,3/13/2021 21:49
152,403,115,185,152,4/30/2021 7:16
153,62,163,29,153,5/18/2021 12:18
154,915,116,3,154,4/29/2021 10:02
155,965,104,105,155,11/23/2021 4:51
156,453,200,195,156,11/2/2021 11:19
157,302,195,75,157,6/2/2021 10:47
158,37,30,138,158,8/10/2021 10:20
159,69,122,19,159,3/4/2021 20:36
160,530,12,6,160,8/9/2021 6:29
161,693,100,91,161,6/28/2021 23:42
162,763,107,131,162,1/1/2021 5:05
163,660,95,160,163,9/15/2021 5:25
164,517,91,32,164,7/27/2021 10:41
165,681,75,167,165,11/6/2021 19:26
166,421,119,70,166,5/19/2021 19:26
167,774,193,137,167,9/21/2021 16:36
168,739,6,36,168,3/13/2021 18:36
169,868,32,104,169,12/10/2020 16:15
170,222,183,41,170,9/26/2021 10:27
171,989,167,173,171,11/25/2021 6:33
172,245,97,106,172,9/23/2021 17:13
173,538,41,156,173,12/30/2020 6:43
174,583,147,145,174,12/30/2020 1:28
175,1000,172,102,175,1/13/2021 19:46
176,676,90,64,176,6/12/2021 20:20
177,246,36,89,177,10/29/2021 20:48
178,363,193,22,178,10/3/2021 16:24
179,365,176,70,179,7/13/2021 0:31
180,813,33,190,180,9/28/2021 0:09
181,365,129,110,181,11/7/2021 0:05
182,730,173,120,182,9/4/2021 23:41
183,197,111,178,183,1/29/2021 12:45
184,247,186,115,184,8/19/2021 19:28
185,900,110,181,185,2/20/2021 12:30
186,939,122,181,186,8/2/2021 0:31
187,626,184,39,187,5/2/2021 17:20
188,526,158,32,188,10/13/2021 6:13
189,887,197,168,189,2/17/2021 2:13
190,433,46,81,190,2/19/2021 7:35
191,994,56,199,191,8/19/2021 5:24
192,27,90,104,192,1/6/2021 13:12
193,628,181,62,193,9/15/2021 6:07
194,553,197,110,194,6/11/2021 6:21
195,455,32,197,195,11/10/2021 10:54
196,912,61,47,196,3/14/2021 19:00
197,285,59,56,197,10/20/2021 10:57
198,420,179,24,198,6/24/2021 14:51
199,405,148,47,199,4/30/2021 14:26
200,337,198,91,200,1/31/2021 1:01
201,472,156,67,201,3/18/2021 20:01
202,108,87,58,202,2/7/2021 2:49
203,507,70,76,203,8/29/2021 21:43
204,941,109,2,204,12/2/2020 14:53
205,92,38,60,205,10/16/2021 1:28
206,625,190,118,206,12/14/2020 9:00
207,243,130,177,207,10/5/2021 5:46
208,339,161,147,208,5/23/2021 2:56
209,358,104,55,209,1/20/2021 15:18
210,866,153,14,210,8/5/2021 22:13
211,894,181,159,211,1/17/2021 4:35
212,248,63,21,212,10/12/2021 4:52
213,89,146,171,213,2/15/2021 18:29
214,350,34,12,214,12/5/2020 12:54
215,110,176,108,215,3/8/2021 23:17
216,312,1,111,216,8/27/2021 10:56
217,81,108,136,217,6/30/2021 3:41
218,408,36,39,218,2/9/2021 13:47
219,935,141,27,219,6/9/2021 3:15
220,171,172,25,220,10/14/2021 16:44
221,741,39,38,221,11/30/2020 6:31
222,472,101,148,222,4/28/2021 22:39
223,818,6,189,223,7/5/2021 19:07
224,159,177,24,224,4/11/2021 20:57
225,946,144,21,225,8/5/2021 3:44
226,646,122,90,226,3/27/2021 22:37
227,980,78,73,227,5/14/2021 8:36
228,267,34,64,228,3/30/2021 12:19
229,755,49,60,229,3/29/2021 10:36
230,416,178,82,230,6/2/2021 15:45
231,653,43,71,231,5/24/2021 19:01
232,140,120,171,232,8/17/2021 12:59
233,172,199,86,233,8/31/2021 11:17
234,879,23,122,234,3/5/2021 2:29
235,211,71,142,235,1/21/2021 3:22
